lexicon,explanation
ab initio," from the start of something (This phrase is Latin).,"
abandonment," giving up a legal right.,"
abatement," cancelling a writ or action; stopping a nuisance; reducing the payments to creditors in proportion, if there is not enough money to pay them in full; or reducing the bequests in a will, in proportion, when there is not enough money to pay them in full.,"
abduction," taking someone away by force.,"
abovementioned," describing something which has been referred to before in the document.,"
abscond," when a person fails to present themselves before the court when required, such as when they have been released on bail and not returned to court.,"
absolute," complete and unconditional.,"
absolute discharge," someone who has been convicted of an offence being released without any penalty (They may still have to pay compensation though).,"
absolute owner," the only owner of property such as equipment, buildings, land or vehicles.,"
absolute privilege," a defence which can be used in a case of defamation if the statement from which the defamation arose was made in Parliament; in fair and accurate news reporting of court proceedings; or made during court proceedings.,"
abstract of title," a document, drawn up by the seller, summarising the title deeds to a property (such as a house).,"
abuse of process," when criminal proceedings are brought against a person without there being any good reason and with malice.,"
abuttals," the parts of the boundaries of a piece of land which touch pieces of land alongside.,"
acceptance," when an offer is accepted unconditionally and a legally binding agreement is created.,"
acceptance of service," when a solicitor accepts a writ on behalf of a client.,"
acceptor," the organisation (such as a bank) which will pay the cheque or bill of exchange it has accepted.,"
accessory," someone who encourages or helps another person to commit a crime.,"
accomplice," someone who helps another person to commit a crime.,"
accordingly," a word used in legal documents which means therefore or so.,"
accounts," the record of an organisation's income, spending and financial situation.,"
accumulation," reinvesting income generated by a fund back into the fund.,"
accused," the person charged with a criminal offence.,"
acknowledgement," admitting that someone has a cliam or admitting that a debt exists.,"
acknowledgement of service," when a defendant agrees that a writ or originating summons ('claim form' since April 1999) has been received. The defendant fills in, signs and sends back the acknowledgement of service to confirm in writing that the documents were received.,"
acquit," when a court lets a person go without any penalty. If a court decides that a person is not guilty of a crime, or the case has not been proved it will acquit the person.,"
acquittal," the court's decision that a person is innocent of the crime they were charged with.,"
act of bankruptcy," an act which, if carried out by a person with debts, could have led to bankruptcy proceedings against that person.,"
act of god," an extreme naturally occurring event (such as an earthquake, avalanche or flood) that could not have been anticipated.,"
action," using the law to make a claim.,"
active trust," a trust where the trustees have other responsibilities rather than to just let the beneficiaries have the trust's assets when they ask for them.,"
actual bodily harm," hurting another person but less severely than would amount to grievous bodily harm.,"
actual loss," an insurance term which means that the insured item no longer exists.,"
actuary," an expert on pension scheme assets and liabilities, life expectancy and probabilities (the likelihood of things happening) for insurance purposes. An actuary works out whether enough money is being paid into a pension scheme to pay the pensions when they are due.,"
actus reus," an act which is illegal, such as theft (This term is latin).,"
ad hoc," for a particular purpose. For example, a committee set up to deal with a particular situation is an ad hoc committee (This term is Latin).,"
ad idem," in agreement (This term is Latin).,"
ad infinitum," endlessly or forever (This term is Latin).,"
ad valorem," in proportion to the value. An ad valorem duty goes up as the value of the goods, shares and so on that it is charged on rises (This term is Latin).,"
additional voluntary contribution," extra money people in occupational pension schemes can pay in to increase their pension benefits.,"
ademption," when a gift in a will cannot be made because the item no longer exists.,"
adjourned sine die," when a court case has no date fixed for it to continue.,"
adjournment," postponing a court hearing.,"
adjudge," to give an official judgement about something. For example, if someone cannot pay their debts a court may adjudge them bankrupt.,"
adjudicate," to give an official judgement about something. For example, if someone cannot pay their debts a court may adjudge them bankrupt.,"
adjudication order," the former name for a court order which made someone bankrupt. It has now been replaced with the term bankruptcy order.,"
